namespace_prefix	namespace_name	repository	repository_url	confirmation_evidence	local_evidence_paths
aop	AOPWiki	pdaa	https://github.com/biobricks-ai/pdaa	direct Identifiers.org namespace IRI in repository metadata/source	/mnt/raid2/biobricks/pdaa/README.md;/mnt/raid2/biobricks/pdaa/dvc.yaml;/mnt/raid2/biobricks/pdaa/stages/03_priority_phthalates.py;/mnt/raid2/biobricks/pdaa/stages/10_associate_properties_with_aopwiki.py
aop	AOPWiki	zenodo-aopwiki-rdf	https://github.com/biobricks-ai/zenodo-aopwiki-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/mnt/raid2/biobricks/zenodo-aopwiki-rdf/.bb/source.jsonld;/mnt/raid2/biobricks/zenodo-aopwiki-rdf/dvc.yaml;/mnt/raid2/biobricks/zenodo-aopwiki-rdf/stages/01_download.py;/mnt/raid2/biobricks/zenodo-aopwiki-rdf/stages/02_build.py
arxiv	arXiv	arxiv-fgbench-a-dataset-and-benchmar	https://github.com/biobricks-ai/arxiv-fgbench-a-dataset-and-benchmar	exact registry resource URL plus namespace-specific repository metadata: https://arxiv.org/abs|registry provider domain plus namespace-specific metadata token: arxiv.org; arxiv	/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/.bb/brick.jsonld;/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/dvc.yaml;/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/stages/01_download.py;/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/stages/02_build.py
arxiv	arXiv	arxiv-smiles2dock-an-open-large-scal	https://github.com/biobricks-ai/arxiv-smiles2dock-an-open-large-scal	registry provider domain plus namespace-specific metadata token: arxiv.org; arxiv	/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/.bb/brick.jsonld;/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/dvc.yaml;/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/stages/01_download.py;/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/stages/02_build.py
arxiv	arXiv	arxiv-uncovering-the-mechanism-of-he	https://github.com/biobricks-ai/arxiv-uncovering-the-mechanism-of-he	registry provider domain plus namespace-specific metadata token: arxiv.org; arxiv	/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/.bb/brick.jsonld;/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/dvc.yaml;/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/stages/01_download.py;/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/stages/02_build.py
bgee.gene	Bgee gene	bgee-rdf	https://github.com/biobricks-ai/bgee-rdf	registry provider domain plus namespace-specific metadata token: www.bgee.org; bgee	/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/stages/01_download.py;/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/stages/02_verify_remote_zip.py
bindingdb	BindingDB	bindingdb	https://github.com/biobricks-ai/bindingdb	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb/.bb/source.jsonld;/mnt/raid2/biobricks/bindingdb/dvc.yaml;/mnt/raid2/biobricks/bindingdb/stages/01_download.py
bindingdb	BindingDB	bindingdb-affinities	https://github.com/biobricks-ai/bindingdb-affinities	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-affinities/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-affinities/.bb/source.jsonld;/mnt/raid2/biobricks/bindingdb-affinities/dvc.yaml;/mnt/raid2/biobricks/bindingdb-affinities/stages/01_download.py
bindingdb	BindingDB	bindingdb-bdb-download	https://github.com/biobricks-ai/bindingdb-bdb-download	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-bdb-download/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-bdb-download/dvc.yaml;/mnt/raid2/biobricks/bindingdb-bdb-download/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-bdb-download/stages/02_build.py
bindingdb	BindingDB	bindingdb-bindingdb-primarysearch-ki	https://github.com/biobricks-ai/bindingdb-bindingdb-primarysearch-ki	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/dvc.yaml;/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/stages/02_build.py
bindingdb	BindingDB	bindingdb-fda-approved-drugs-in-bindingd	https://github.com/biobricks-ai/bindingdb-fda-approved-drugs-in-bindingd	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/README.md;/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/dvc.yaml;/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/stages/01_download.py
bindingdb	BindingDB	bindingdb-info	https://github.com/biobricks-ai/bindingdb-info	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-info/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-info/dvc.yaml;/mnt/raid2/biobricks/bindingdb-info/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-info/stages/02_build.py
bindingdb	BindingDB	bindingdb-smiles-for-cytochrome-p450-2c1	https://github.com/biobricks-ai/bindingdb-smiles-for-cytochrome-p450-2c1	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/dvc.yaml;/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/stages/02_build.py
bindingdb	BindingDB	nih-bindingdb-in-2024-a-fair-knowledgeb	https://github.com/biobricks-ai/nih-bindingdb-in-2024-a-fair-knowledgeb	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/.bb/brick.jsonld;/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/dvc.yaml;/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/stages/01_download.py;/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/stages/02_build.py
biogrid	BioGRID	biogrid	https://github.com/biobricks-ai/biogrid	registry provider domain plus namespace-specific metadata token: thebiogrid.org; biogrid	/mnt/raid2/biobricks/biogrid/.bb/brick.jsonld;/mnt/raid2/biobricks/biogrid/README.md;/mnt/raid2/biobricks/biogrid/dvc.yaml;/mnt/raid2/biobricks/biogrid/stages/01_download.py
biostudies	BioStudies database	biostudies	https://github.com/biobricks-ai/biostudies	exact registry resource URL plus namespace-specific repository metadata: https://www.ebi.ac.uk/biostudies|exact registry resource URL plus namespace-specific repository metadata: https://www.ebi.ac.uk/biostudies/studies	/mnt/raid2/biobricks/biostudies/.bb/brick.jsonld;/mnt/raid2/biobricks/biostudies/README.md;/mnt/raid2/biobricks/biostudies/dvc.yaml;/mnt/raid2/biobricks/biostudies/stages/03_catalog.py
bitterdb.cpd	BitterDB Compound	bitterdb	https://github.com/biobricks-ai/bitterdb	registry provider domain plus namespace-specific metadata token: bitterdb.agri.huji.ac.il; bitterdb	/mnt/raid2/biobricks/bitterdb/.bb/brick.jsonld;/mnt/raid2/biobricks/bitterdb/dvc.yaml;/mnt/raid2/biobricks/bitterdb/stages/01_download.py;/mnt/raid2/biobricks/bitterdb/stages/02_build.py
