namespace_prefix	namespace_name	repository	repository_url	similarity	token_overlap	review_reason
ardb	Antibiotic Resistance Genes Database	card-antibiotic-resistance-database-amr	https://github.com/biobricks-ai/card-antibiotic-resistance-database-amr	0.850	antibiotic,resistance	no exact source/metadata evidence
kegg	Kyoto Encyclopedia of Genes and Genomes	gencode	https://github.com/biobricks-ai/gencode	0.739	encyclopedia,genes	no exact source/metadata evidence
massbank	MassBank	massbank-data	https://github.com/biobricks-ai/massbank-data	0.733	massbank	no exact source/metadata evidence
aop	AOPWiki	aop-wiki-kg	https://github.com/biobricks-ai/aop-wiki-kg	0.727	aop	no exact source/metadata evidence
ccds	Consensus CDS	lincs-consensus	https://github.com/biobricks-ai/lincs-consensus	0.727	consensus	no exact source/metadata evidence
drugcentral	DrugCentral	drugcentral-target-interactions	https://github.com/biobricks-ai/drugcentral-target-interactions	0.704	drugcentral	no exact source/metadata evidence
gdc	Genomic Data Commons Data Portal	gdc	https://github.com/biobricks-ai/gdc	0.703	commons,gdc,genomic	no exact source/metadata evidence
sider.effect	SIDER Side Effect	moleculenet-sider-side-effects	https://github.com/biobricks-ai/moleculenet-sider-side-effects	0.700	side,sider	no exact source/metadata evidence
sider.effect	SIDER Side Effect	sider4-side-effects	https://github.com/biobricks-ai/sider4-side-effects	0.694	side	no exact source/metadata evidence
uniprot	UniProt Knowledgebase	ecotox-knowledgebase	https://github.com/biobricks-ai/ecotox-knowledgebase	0.694	knowledgebase	no exact source/metadata evidence
mpid	Microbial Protein Interaction Database	stitch	https://github.com/biobricks-ai/stitch	0.690	interaction	no exact source/metadata evidence
chembl.target	ChEMBL target	chembl-target-panels	https://github.com/biobricks-ai/chembl-target-panels	0.681	chembl,target	no exact source/metadata evidence
uniprot	UniProt Knowledgebase	epa-ecotox-knowledgebase	https://github.com/biobricks-ai/epa-ecotox-knowledgebase	0.679	knowledgebase	no exact source/metadata evidence
ardb	Antibiotic Resistance Genes Database	antibiotic-resistance	https://github.com/biobricks-ai/antibiotic-resistance	0.677	antibiotic,resistance	no exact source/metadata evidence
bigg.reaction	BiGG Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.677	reaction	no exact source/metadata evidence
kegg.reaction	KEGG Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.677	reaction	no exact source/metadata evidence
drugcentral	DrugCentral	drugcentral-structures-identifiers	https://github.com/biobricks-ai/drugcentral-structures-identifiers	0.667	drugcentral	no exact source/metadata evidence
gpcrdb	GPCRDB	gpcrdb-ligands	https://github.com/biobricks-ai/gpcrdb-ligands	0.667	gpcrdb	no exact source/metadata evidence
pubchem.compound	PubChem-compound	pubchem-compounds-sdf	https://github.com/biobricks-ai/pubchem-compounds-sdf	0.667	pubchem	no exact source/metadata evidence
ricenetdb.reaction	RiceNetDB Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.667	reaction	no exact source/metadata evidence
sabiork.reaction	SABIO-RK Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.667	reaction	no exact source/metadata evidence
seed.reaction	SEED Reactions	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.667	reaction	no exact source/metadata evidence
smpdb	Small Molecule Pathway Database	SMRT	https://github.com/biobricks-ai/SMRT	0.658	molecule,small	no exact source/metadata evidence
odor	Odor Molecules DataBase	open-targets-molecules-dataset	https://github.com/biobricks-ai/open-targets-molecules-dataset	0.655	molecules	no exact source/metadata evidence
pharmgkb.gene	PharmGKB Gene	pharmgkb-pharmacogenomics	https://github.com/biobricks-ai/pharmgkb-pharmacogenomics	0.654	pharmgkb	no exact source/metadata evidence
genprop	Genome Properties	ecnet-fuel-properties	https://github.com/biobricks-ai/ecnet-fuel-properties	0.652	properties	no exact source/metadata evidence
obcs	 Ontology of Biological and Clinical Statistics	catalog-biological-and-chemical-data-f	https://github.com/biobricks-ai/catalog-biological-and-chemical-data-f	0.652	biological	no exact source/metadata evidence
jcsd	Japan Chemical Substance Dictionary	chemradar-u-s-tsca-chemical-substance-in	https://github.com/biobricks-ai/chemradar-u-s-tsca-chemical-substance-in	0.650	substance	no exact source/metadata evidence
gcst	GWAS Catalog	datagov-cata-catalog	https://github.com/biobricks-ai/datagov-cata-catalog	0.649	catalog	no exact source/metadata evidence
classyfire	ClassyFire	classyfire-kg	https://github.com/biobricks-ai/classyfire-kg	0.647	classyfire	no exact source/metadata evidence
encode	ENCODE: Encyclopedia of DNA Elements	gencode	https://github.com/biobricks-ai/gencode	0.644	encyclopedia	no exact source/metadata evidence
lrg	Locus Reference Genomic	jrc-ecvam-reference-chemicals	https://github.com/biobricks-ai/jrc-ecvam-reference-chemicals	0.643	reference	no exact source/metadata evidence
dg.md1r	MIDRC Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.640	commons	no exact source/metadata evidence
dg.7c5b	Environmental Data Commons	catalog-u-s-environmental-93-dataset-c	https://github.com/biobricks-ai/catalog-u-s-environmental-93-dataset-c	0.639	environmental	no exact source/metadata evidence
chembl.compound	ChEMBL compound	chembl-compounds	https://github.com/biobricks-ai/chembl-compounds	0.638	chembl	no exact source/metadata evidence
pw	Pathway Ontology	ecohealth-pathway-toxicology	https://github.com/biobricks-ai/ecohealth-pathway-toxicology	0.638	pathway	no exact source/metadata evidence
sider.drug	SIDER Drug	offsides-drug-side-effects	https://github.com/biobricks-ai/offsides-drug-side-effects	0.638	drug	no exact source/metadata evidence
dg.80b6	GenoMEL Data Commons	gdc	https://github.com/biobricks-ai/gdc	0.636	commons	no exact source/metadata evidence
identifiers.namespace	Identifiers.org namespace	identifiers-org-graph	https://github.com/biobricks-ai/identifiers-org-graph	0.636	org	no exact source/metadata evidence
metabolights	MetaboLights	ebi-metabolights-compounds	https://github.com/biobricks-ai/ebi-metabolights-compounds	0.627	metabolights	no exact source/metadata evidence
identifiers.namespace	Identifiers.org namespace	identifiers-org-sparql-rdf	https://github.com/biobricks-ai/identifiers-org-sparql-rdf	0.626	org	no exact source/metadata evidence
rhea	Rhea	rhea-kg	https://github.com/biobricks-ai/rhea-kg	0.625	rhea	no exact source/metadata evidence
clinicaltrials	ClinicalTrials.gov	clinicaltrials-interventions	https://github.com/biobricks-ai/clinicaltrials-interventions	0.623	clinicaltrials	no exact source/metadata evidence
chembl	ChEMBL	chembl-compounds	https://github.com/biobricks-ai/chembl-compounds	0.621	chembl	no exact source/metadata evidence
drugbank	DrugBank	drugbank-tsv	https://github.com/biobricks-ai/drugbank-tsv	0.621	drugbank	no exact source/metadata evidence
seed.reaction	SEED Reactions	rhea-reactions	https://github.com/biobricks-ai/rhea-reactions	0.619	reactions	no exact source/metadata evidence
uniprot	UniProt Knowledgebase	nih-epa-ecotoxicology-knowledgebase-eco	https://github.com/biobricks-ai/nih-epa-ecotoxicology-knowledgebase-eco	0.618	knowledgebase	no exact source/metadata evidence
chembl	ChEMBL	chembl-latest	https://github.com/biobricks-ai/chembl-latest	0.615	chembl	no exact source/metadata evidence
umbbd.reaction	UM-BBD Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.615	reaction	no exact source/metadata evidence
chembl.compound	ChEMBL compound	chembl-32-compound-target-pairs	https://github.com/biobricks-ai/chembl-32-compound-target-pairs	0.613	chembl,compound	no exact source/metadata evidence
pubchem.bioassay	PubChem-bioassay	archive-pubchem-bioassay-data	https://github.com/biobricks-ai/archive-pubchem-bioassay-data	0.613	bioassay,pubchem	no exact source/metadata evidence
tcdb	Transport Classification Database	acute-toxicity-classification-10-bins	https://github.com/biobricks-ai/acute-toxicity-classification-10-bins	0.613	classification	no exact source/metadata evidence
datanator.reaction	Datanator Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.611	reaction	no exact source/metadata evidence
raid	Research Activity Identifier	idac-activity-coefficients	https://github.com/biobricks-ai/idac-activity-coefficients	0.610	activity	no exact source/metadata evidence
vmhreaction	VMH reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.610	reaction	no exact source/metadata evidence
biogrid	BioGRID	biogrid-biological-interactions	https://github.com/biobricks-ai/biogrid-biological-interactions	0.609	biogrid	no exact source/metadata evidence
