namespace_prefix	namespace_name	repository	repository_url	classification	confirmation_evidence	local_evidence_paths
aop	AOPWiki	pdaa	https://github.com/biobricks-ai/pdaa	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/mnt/raid2/biobricks/pdaa/README.md;/mnt/raid2/biobricks/pdaa/dvc.yaml;/mnt/raid2/biobricks/pdaa/stages/03_priority_phthalates.py;/mnt/raid2/biobricks/pdaa/stages/10_associate_properties_with_aopwiki.py
aop	AOPWiki	zenodo-aopwiki-rdf	https://github.com/biobricks-ai/zenodo-aopwiki-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/mnt/raid2/biobricks/zenodo-aopwiki-rdf/.bb/source.jsonld;/mnt/raid2/biobricks/zenodo-aopwiki-rdf/dvc.yaml;/mnt/raid2/biobricks/zenodo-aopwiki-rdf/stages/01_download.py;/mnt/raid2/biobricks/zenodo-aopwiki-rdf/stages/02_build.py
cas	CAS	acute-toxicity-115-rdf	https://github.com/biobricks-ai/acute-toxicity-115-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/health/build-status.json
cas	CAS	anses-trv-rdf	https://github.com/biobricks-ai/anses-trv-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/health/build-status.json
cas	CAS	bayer-dili-rdf	https://github.com/biobricks-ai/bayer-dili-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/bayer-dili-rdf/README.md;/home/insilica/git/com.toxindex/bayer-dili-rdf/dvc.yaml;/home/insilica/git/com.toxindex/bayer-dili-rdf/stages/convert.py;/home/insilica/git/com.toxindex/bayer-dili-rdf/health/build-status.json
cas	CAS	cesar-canada-rdf	https://github.com/biobricks-ai/cesar-canada-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/cesar-canada-rdf/README.md;/home/insilica/git/com.toxindex/cesar-canada-rdf/dvc.yaml;/home/insilica/git/com.toxindex/cesar-canada-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/cesar-canada-rdf/stages/convert.py
cas	CAS	chemsec-sin-list-rdf	https://github.com/biobricks-ai/chemsec-sin-list-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/README.md;/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/dvc.yaml;/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/stages/convert.py
cas	CAS	china-iecsc-rdf	https://github.com/biobricks-ai/china-iecsc-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/china-iecsc-rdf/README.md;/home/insilica/git/com.toxindex/china-iecsc-rdf/dvc.yaml;/home/insilica/git/com.toxindex/china-iecsc-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/china-iecsc-rdf/stages/convert.py
cas	CAS	cmaup-rdf	https://github.com/biobricks-ai/cmaup-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/health/build-status.json
cas	CAS	csc-red-list-rdf	https://github.com/biobricks-ai/csc-red-list-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/csc-red-list-rdf/README.md;/home/insilica/git/com.toxindex/csc-red-list-rdf/dvc.yaml;/home/insilica/git/com.toxindex/csc-red-list-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/csc-red-list-rdf/stages/convert.py
cas	CAS	cyp-sites-of-metabolism-rdf	https://github.com/biobricks-ai/cyp-sites-of-metabolism-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/README.md;/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/dvc.yaml;/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/stages/convert.py;/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/health/build-status.json
cas	CAS	echa-biodegradability-rdf	https://github.com/biobricks-ai/echa-biodegradability-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/health/build-status.json
cas	CAS	echa-corap-rdf	https://github.com/biobricks-ai/echa-corap-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/echa-corap-rdf/README.md;/home/insilica/git/com.toxindex/echa-corap-rdf/dvc.yaml;/home/insilica/git/com.toxindex/echa-corap-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/echa-corap-rdf/stages/convert.py
cas	CAS	endocrine-disruption-data-rdf	https://github.com/biobricks-ai/endocrine-disruption-data-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/health/build-status.json
cas	CAS	envichem-finland-rdf	https://github.com/biobricks-ai/envichem-finland-rdf	identifier-consumer	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/envichem-finland-rdf/README.md;/home/insilica/git/com.toxindex/envichem-finland-rdf/dvc.yaml;/home/insilica/git/com.toxindex/envichem-finland-rdf/stages/convert.py;/home/insilica/git/com.toxindex/envichem-finland-rdf/health/build-status.json
