namespace_prefix	namespace_name	repository	repository_url	classification	confirmation_evidence	local_evidence_paths
bgee.gene	Bgee gene	bgee-rdf	https://github.com/biobricks-ai/bgee-rdf	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bgee.org; bgee	/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/stages/01_download.py;/home/insilica/git/com.toxindex/kg/graphs/bgee-rdf/stages/02_verify_remote_zip.py
bindingdb	BindingDB	bindingdb	https://github.com/biobricks-ai/bindingdb	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb/.bb/source.jsonld;/mnt/raid2/biobricks/bindingdb/dvc.yaml;/mnt/raid2/biobricks/bindingdb/stages/01_download.py
bindingdb	BindingDB	bindingdb-affinities	https://github.com/biobricks-ai/bindingdb-affinities	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-affinities/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-affinities/.bb/source.jsonld;/mnt/raid2/biobricks/bindingdb-affinities/dvc.yaml;/mnt/raid2/biobricks/bindingdb-affinities/stages/01_download.py
bindingdb	BindingDB	bindingdb-bdb-download	https://github.com/biobricks-ai/bindingdb-bdb-download	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-bdb-download/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-bdb-download/dvc.yaml;/mnt/raid2/biobricks/bindingdb-bdb-download/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-bdb-download/stages/02_build.py
bindingdb	BindingDB	bindingdb-bindingdb-primarysearch-ki	https://github.com/biobricks-ai/bindingdb-bindingdb-primarysearch-ki	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/dvc.yaml;/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-bindingdb-primarysearch-ki/stages/02_build.py
bindingdb	BindingDB	bindingdb-fda-approved-drugs-in-bindingd	https://github.com/biobricks-ai/bindingdb-fda-approved-drugs-in-bindingd	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/README.md;/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/dvc.yaml;/mnt/raid2/biobricks/bindingdb-fda-approved-drugs-in-bindingd/stages/01_download.py
bindingdb	BindingDB	bindingdb-smiles-for-cytochrome-p450-2c1	https://github.com/biobricks-ai/bindingdb-smiles-for-cytochrome-p450-2c1	primary-registered-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/dvc.yaml;/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-smiles-for-cytochrome-p450-2c1/stages/02_build.py
biogrid	BioGRID	biogrid	https://github.com/biobricks-ai/biogrid	primary-registered-resource	registry provider domain plus namespace-specific metadata token: thebiogrid.org; biogrid	/mnt/raid2/biobricks/biogrid/.bb/brick.jsonld;/mnt/raid2/biobricks/biogrid/README.md;/mnt/raid2/biobricks/biogrid/dvc.yaml;/mnt/raid2/biobricks/biogrid/stages/01_download.py
biostudies	BioStudies database	biostudies	https://github.com/biobricks-ai/biostudies	primary-registered-resource	exact registry resource URL plus namespace-specific repository metadata: https://www.ebi.ac.uk/biostudies|exact registry resource URL plus namespace-specific repository metadata: https://www.ebi.ac.uk/biostudies/studies	/mnt/raid2/biobricks/biostudies/.bb/brick.jsonld;/mnt/raid2/biobricks/biostudies/README.md;/mnt/raid2/biobricks/biostudies/dvc.yaml;/mnt/raid2/biobricks/biostudies/stages/03_catalog.py
bitterdb.cpd	BitterDB Compound	bitterdb	https://github.com/biobricks-ai/bitterdb	primary-registered-resource	registry provider domain plus namespace-specific metadata token: bitterdb.agri.huji.ac.il; bitterdb	/mnt/raid2/biobricks/bitterdb/.bb/brick.jsonld;/mnt/raid2/biobricks/bitterdb/dvc.yaml;/mnt/raid2/biobricks/bitterdb/stages/01_download.py;/mnt/raid2/biobricks/bitterdb/stages/02_build.py
