namespace_prefix	namespace_name	repository	repository_url	classification	confirmation_evidence	local_evidence_paths
arxiv	arXiv	arxiv-fgbench-a-dataset-and-benchmar	https://github.com/biobricks-ai/arxiv-fgbench-a-dataset-and-benchmar	related-or-derived-not-namespace-resource	exact registry resource URL plus namespace-specific repository metadata: https://arxiv.org/abs|registry provider domain plus namespace-specific metadata token: arxiv.org; arxiv	/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/.bb/brick.jsonld;/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/dvc.yaml;/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/stages/01_download.py;/mnt/raid2/biobricks/arxiv-fgbench-a-dataset-and-benchmar/stages/02_build.py
arxiv	arXiv	arxiv-smiles2dock-an-open-large-scal	https://github.com/biobricks-ai/arxiv-smiles2dock-an-open-large-scal	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: arxiv.org; arxiv	/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/.bb/brick.jsonld;/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/dvc.yaml;/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/stages/01_download.py;/mnt/raid2/biobricks/arxiv-smiles2dock-an-open-large-scal/stages/02_build.py
arxiv	arXiv	arxiv-uncovering-the-mechanism-of-he	https://github.com/biobricks-ai/arxiv-uncovering-the-mechanism-of-he	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: arxiv.org; arxiv	/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/.bb/brick.jsonld;/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/dvc.yaml;/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/stages/01_download.py;/mnt/raid2/biobricks/arxiv-uncovering-the-mechanism-of-he/stages/02_build.py
bindingdb	BindingDB	bindingdb-info	https://github.com/biobricks-ai/bindingdb-info	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/bindingdb-info/.bb/brick.jsonld;/mnt/raid2/biobricks/bindingdb-info/dvc.yaml;/mnt/raid2/biobricks/bindingdb-info/stages/01_download.py;/mnt/raid2/biobricks/bindingdb-info/stages/02_build.py
bindingdb	BindingDB	nih-bindingdb-in-2024-a-fair-knowledgeb	https://github.com/biobricks-ai/nih-bindingdb-in-2024-a-fair-knowledgeb	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: www.bindingdb.org; bindingdb	/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/.bb/brick.jsonld;/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/dvc.yaml;/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/stages/01_download.py;/mnt/raid2/biobricks/nih-bindingdb-in-2024-a-fair-knowledgeb/stages/02_build.py
broad	Broad Fungal Genome Initiative	drug-repurposing-hub-broad-metadata	https://github.com/biobricks-ai/drug-repurposing-hub-broad-metadata	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: www.broadinstitute.org; broad	/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/.bb/brick.jsonld;/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/.bb/source.jsonld;/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/dvc.yaml;/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/stages/01_download.py
chembl	ChEMBL	go-chembl-a-large-scale-bioactivi	https://github.com/biobricks-ai/go-chembl-a-large-scale-bioactivi	related-or-derived-not-namespace-resource	exact registry resource URL plus namespace-specific repository metadata: https://www.ebi.ac.uk/chembl	/mnt/raid2/biobricks/go-chembl-a-large-scale-bioactivi/.bb/brick.jsonld;/mnt/raid2/biobricks/go-chembl-a-large-scale-bioactivi/dvc.yaml;/mnt/raid2/biobricks/go-chembl-a-large-scale-bioactivi/stages/01_download.py;/mnt/raid2/biobricks/go-chembl-a-large-scale-bioactivi/stages/02_build.py
comptox	CompTox Chemistry Dashboard	en-comptox-chemicals-dashboard	https://github.com/biobricks-ai/en-comptox-chemicals-dashboard	related-or-derived-not-namespace-resource	exact registry resource URL plus namespace-specific repository metadata: https://comptox.epa.gov/dashboard|registry provider domain plus namespace-specific metadata token: comptox.epa.gov; comptox	/mnt/raid2/biobricks/en-comptox-chemicals-dashboard/.bb/brick.jsonld;/mnt/raid2/biobricks/en-comptox-chemicals-dashboard/README.md;/mnt/raid2/biobricks/en-comptox-chemicals-dashboard/dvc.yaml;/mnt/raid2/biobricks/en-comptox-chemicals-dashboard/stages/01_download.py
drugbank	DrugBank	go-drugbank-online-database-for-d	https://github.com/biobricks-ai/go-drugbank-online-database-for-d	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: go.drugbank.com; drugbank	/mnt/raid2/biobricks/go-drugbank-online-database-for-d/.bb/brick.jsonld;/mnt/raid2/biobricks/go-drugbank-online-database-for-d/dvc.yaml;/mnt/raid2/biobricks/go-drugbank-online-database-for-d/stages/01_download.py;/mnt/raid2/biobricks/go-drugbank-online-database-for-d/stages/02_build.py
drugbank	DrugBank	go-drugbank-release-version-5-1-1	https://github.com/biobricks-ai/go-drugbank-release-version-5-1-1	related-or-derived-not-namespace-resource	registry provider domain plus namespace-specific metadata token: go.drugbank.com; drugbank	/mnt/raid2/biobricks/go-drugbank-release-version-5-1-1/.bb/brick.jsonld;/mnt/raid2/biobricks/go-drugbank-release-version-5-1-1/dvc.yaml;/mnt/raid2/biobricks/go-drugbank-release-version-5-1-1/stages/01_download.py;/mnt/raid2/biobricks/go-drugbank-release-version-5-1-1/stages/02_build.py
