namespace_prefix	namespace_name
3dmet	3DMET
4503	BioData Catalyst
4dn	4D Nucleome
6vts	JCOIN Portal
abs	ABS
aceview.worm	Aceview Worm
addgene	Addgene Plasmid Repository
adw	Animal Diversity Web
affy.probeset	Affymetrix Probeset
aftol.taxonomy	AFTOL
agricola	AGRICOLA
allergome	Allergome
amoebadb	AmoebaDB
antibodyregistry	Antibody Registry
antweb	AntWeb
aop.events	AOPWiki (Key Event)
aop.relationships	AOPWiki (Key Event Relationship)
aop.stressor	AOPWiki (Stressor)
apd	APD
aphidbase.transcript	AphidBase Transcript
apid.interactions	APID Interactomes
arachnoserver	ArachnoServer
ardb	Antibiotic Resistance Genes Database
ark	Archival Resource Key (ARK)
arrayexpress	ArrayExpress
arrayexpress.platform	ArrayExpress Platform
arraymap	ArrayMap
asap	ASAP
ascl	Astrophysics Source Code Library
asin	Amazon Standard Identification Number (ASIN)
aspgd.locus	AspGD Locus
aspgd.protein	AspGD Protein
assembly	Assembly
atc	Anatomical Therapeutic Chemical
atcc	ATCC
atcvet	Anatomical Therapeutic Chemical Vetinary
atfdb.family	Animal TFDB Family
autdb	AutDB
bacdive	Bacterial Diversity Metadatabase
bacmap.biog	BacMap Biography
bacmap.map	BacMap Map
bao	BioAssay Ontology
bbkg	Blue Brain Project Knowledge Graph
bbtp	Blue Brain Project Topological sampling Knowledge Graph
bdgp.est	BDGP EST
bdgp.insertion	BDGP insertion DB
bdsc	Bloomington Drosophila Stock Center
beetlebase	BeetleBase
begdb	Benchmark Energy & Geometry Database
bgee.family	Bgee family
bgee.organ	Bgee organ
bgee.stage	Bgee stage
bigg.compartment	BiGG Compartment
bigg.metabolite	BiGG Metabolite
bigg.model	BiGG Model
bigg.reaction	BiGG Reaction
biocarta.pathway	BioCarta Pathway
biocatalogue.service	BioCatalogue
biocyc	BioCyc
biodeep	BioDeep Database
biofactoid	Biofactoid
biokc	BioKC
biolink	BioLink Model
biominder	Bio-MINDER Tissue Database
biomodels.db	BioModels Database
biomodels.kisao	KiSAO
biomodels.teddy	TEDDY
biomodels.vocabulary	SBML RDF Vocabulary
bionumbers	BioNumbers
bioportal	BioPortal
bioproject	BioProject
biosample	BioSample
biosimulations	biosimulations
biosimulators	BioSimulators
biosystems	BioSystems
biotools	BioTools
bitbucket	Bitbucket
bold.taxonomy	BOLD Taxonomy
bto	Brenda Tissue Ontology
bugbase.expt	BugBase Expt
bugbase.protocol	BugBase Protocol
bykdb	BYKdb
cabri	CABRI
cadsr	Cancer Data Standards Registry and Repository
cameo	CAMEO
caps	CAPS-DB
cath	CATH Protein Structural Domain Superfamily
cath.domain	CATH domain
cath.superfamily	CATH superfamily
cattleqtldb	Animal Genome Cattle QTL
cazy	CAZy
cbioportal	The cBioPortal for Cancer Genomics
ccdc	CCDC Number
ccds	Consensus CDS
cco	Cell Cycle Ontology
cdd	Conserved Domain Database
cdpd	Canadian Drug Product Database
cellimage	Cell Image Library
cellrepo	Cell Version Control Repository
cgd	Candida Genome Database
cgsc	CGSC Strain
charprot	CharProt
chemdb	ChemDB
chemidplus	ChemIDplus
cheminf	Chemical Information Ontology
chemspider	ChemSpider
chickenqtldb	Animal Genome Chicken QTL
civic.aid	CIViC Assertion
civic.did	CIViC Disease
civic.eid	CIViC Evidence
civic.gid	CIViC Gene
civic.mpid	CIViC Molecular Profile
civic.sid	CIViC Source
civic.tid	CIViC Therapy
civic.vgid	CIViC Variant Group
civic.vid	CIViC Variant
cl	Cell Type Ontology
classyfire	ClassyFire
clb	ChecklistBank
cldb	CLDB
clinvar	ClinVar Variant
clinvar.record	ClinVar Record
clinvar.submission	ClinVar Submission
clinvar.submitter	ClinVar Submitter
clo	Cell Line Ontology
cog	COG
col	Catalogue of Life
combine.specifications	COMBINE specifications
complexportal	Complex Portal
compulyeast	Compulyeast
coriell	Coriell Cell Repositories
corrdb	CorrDB
corum	CORUM
cosmic	COSMIC Gene
covid19	SARS-CoV-2
cpc	Cooperative Patent Classification
crisprdb	CRISPRdb
crop2ml	CropMRepository
cryptodb	CryptoDB
csa	CSA
csd	Cambridge Structural Database
cst	Cell Signaling Technology Pathways
cst.ab	Cell Signaling Technology Antibody
cstr	CSTR
cubedb	Cube db
d1id	DataONE
dailymed	DailyMed
dandi	DANDI: Distributed Archives for Neurophysiology Data Integration
darc	DARC
dashr	DASHR
dashr.expression	DASHR expression
datanator.gene	Datanator Gene
datanator.metabolite	Datanator Metabolite
datanator.reaction	Datanator Reaction
datf	DATF
dbd	DBD
dbest	dbEST
dbg2introns	DBG2 Introns
dbgap	dbGaP
dbprobe	dbProbe
degradome	Degradome Database
depod	DEPOD
dev.ga4ghdos	Development Data Object Service
dg.373f	The AnVIL
dg.4503	BioData Catalyst
dg.4825	ACCOuNT Data Commons
dg.4dfc	NCI Data Commons Framework Services
dg.5b0d	BloodPAC
dg.63d5	Chicago Pandemic Response Commons
dg.6vts	JCOIN
dg.712c	NHLBI BioData Catalyst
dg.7c5b	Environmental Data Commons
dg.80b6	GenoMEL Data Commons
dg.anv0	Anvil
dg.c78ne	Canine Data Commons
dg.ea80	NIDDK IBD Genetics Consortium Portal
dg.f738	Veterans Precision Oncology Data Commons
dg.f82a1a	Kids First
dg.h34l	The HEAL platform
dg.h35l	HEAL Data Platform
dg.md1r	MIDRC Data Commons
dg.nacd	https://accessclinicaldata.niaid.nih.gov/
dg.nci35	NCI Data Commons Framework Services
dg.um33r90	UMCCR AGHA Data Commons
dg.va03	VA Data Commons
dg.vp07	Veterans Precision Oncology Data Commons
dictybase.est	Dictybase EST
dictybase.gene	Dictybase Gene
did	Decentralized Identifiers (DIDs)
dip	Database of Interacting Proteins
disprot.region	DisProt region
dlxb	Linear double stranded DNA sequences
dlxc	Circular double stranded DNA sequences composed
doi	DOI
doid	Human Disease Ontology
dome	DOME Registry
dommino	DOMMINO
door	DOOR
doqcs.model	Database of Quantitative Cellular Signaling: Model
doqcs.pathway	Database of Quantitative Cellular Signaling: Pathway
dpv	DPV
dragondb.allele	DragonDB Allele
dragondb.dna	DragonDB DNA
dragondb.locus	DragonDB Locus
dragondb.protein	DragonDB Protein
drs.anv0	AnVIL DRS
drsc	DRSC
drugbankv4.target	DrugBank Target v4
echobase	EchoBASE
eco	Evidence Code Ontology
ecogene	EcoGene
ecoliwiki	EcoliWiki
ecyano.entity	E-cyanobacterium entity
ecyano.experiment	E-cyanobacterium Experimental Data
ecyano.model	E-cyanobacterium model
ecyano.rule	E-cyanobacterium rule
edam	EDAM Ontology
efo	Experimental Factor Ontology
ega	European Genome-phenome Archive
ega.dataset	European Genome-phenome Archive Dataset
ega.study	European Genome-phenome Archive Study
eggnog	eggNOG
elm	ELM
emdb	Electron Microscopy Data Bank
empiar	EMPIAR
ena.embl	ENA
encode	ENCODE: Encyclopedia of DNA Elements
ensembl	Ensembl
